CustomerID,Age,Gender,Income,Tenure,ProductType,SupportCalls,ChurnStatus,IncomeBin,TenureBin
CUST0000,1.064754530204981,0,1.781643278282204,-0.4090181781625767,0,-1.4833998881996175,0,"(1.089, 1.803]","(-0.568, 0.149]"
CUST0001,1.752734081665359,0,-0.8288678718313992,0.3876714383304388,1,0.4716834995711445,0,"(-1.051, -0.338]","(0.149, 0.866]"
CUST0002,0.17038111330648975,1,1.7332395763677677,-1.2057077946555923,0,1.20483976998518,0,"(1.089, 1.803]","(-1.285, -0.568]"
CUST0003,-0.7927902587380394,1,0.7903512041158192,-1.6040526029020998,1,1.4492251934565255,0,"(0.376, 1.089]","(-2.006, -1.285]"
CUST0004,1.1335524853510188,0,0.452818304819331,-0.4090181781625767,1,-0.5058581943142365,0,"(0.376, 1.089]","(-0.568, 0.149]"
CUST0005,-1.274375944760304,1,0.17951447571708634,0.7860162465769466,1,1.4492251934565255,0,"(-0.338, 0.376]","(0.149, 0.866]"
CUST0006,-0.38000252786181254,1,0.7959730045704575,0.3876714383304388,0,-0.5058581943142365,0,"(0.376, 1.089]","(0.149, 0.866]"
CUST0007,0.8583606647668677,1,-1.702523771484476,-1.6040526029020998,0,-0.5058581943142365,1,"(-1.768, -1.051]","(-2.006, -1.285]"
CUST0008,-0.5175984381538882,0,-0.4807378786779178,-1.6040526029020998,0,-0.017087347371546022,0,"(-1.051, -0.338]","(-2.006, -1.285]"
CUST0010,-1.0679820793221906,0,-1.006095131163874,-0.4090181781625767,0,-1.2390144647282724,0,"(-1.051, -0.338]","(-0.568, 0.149]"
CUST0011,-1.0679820793221906,0,0.9715137237665409,-0.010673369916068924,0,-0.5058581943142365,0,"(0.376, 1.089]","(-0.568, 0.149]"
CUST0012,0.005721225471250962,1,0.6670651201455996,0.005859437163034398,0,-0.994629041256927,0,"(0.376, 1.089]","(-0.568, 0.149]"
CUST0013,0.6519667993287543,1,-1.496428566817433,1.1843610548234544,0,-1.4833998881996175,0,"(-1.768, -1.051]","(0.866, 1.583]"
CUST0015,-0.1736086624236992,0,-1.1163667470816057,-1.2057077946555923,1,0.4716834995711445,1,"(-1.768, -1.051]","(-1.285, -0.568]"
CUST0016,-1.6183657204904929,1,-1.4221926918139334,-0.4090181781625767,0,-0.7502436177855818,0,"(-1.768, -1.051]","(-0.568, 0.149]"
CUST0017,-0.3112045727157748,1,-0.061716981791446385,-1.6040526029020998,0,0.7160689230424897,0,"(-0.338, 0.376]","(-2.006, -1.285]"
CUST0018,-1.6871636756365307,1,-0.19006268617084052,1.5827058630699622,0,0.2272980760997992,0,"(-0.338, 0.376]","(0.866, 1.583]"
CUST0019,-0.1736086624236992,0,1.2656182145509476,-0.8073629864090844,1,0.7160689230424897,0,"(1.089, 1.803]","(-1.285, -0.568]"
CUST0020,1.2023504404970566,1,1.0005784321170212,-0.8073629864090844,0,-0.5058581943142365,0,"(0.376, 1.089]","(-1.285, -0.568]"
CUST0021,0.23917906845252757,0,-0.942231477999182,1.5827058630699622,0,1.4492251934565255,0,"(-1.051, -0.338]","(0.866, 1.583]"
CUST0022,0.7895627096208299,0,0.048147053593324086,-0.8073629864090844,0,-1.2390144647282724,0,"(-0.338, 0.376]","(-1.285, -0.568]"
CUST0023,-1.6871636756365307,1,0.048147053593324086,1.1843610548234544,0,0.7160689230424897,0,"(-0.338, 0.376]","(0.866, 1.583]"
CUST0024,-0.38000252786181254,0,0.4246811935438659,-1.2057077946555923,0,-0.7502436177855818,0,"(0.376, 1.089]","(-1.285, -0.568]"
CUST0025,0.44557293389064095,1,0.2994836974190693,-0.8073629864090844,1,1.6936106169278706,0,"(-0.338, 0.376]","(-1.285, -0.568]"
CUST0026,0.005721225471250962,0,-1.6493977571881433,-1.2057077946555923,1,0.4716834995711445,1,"(-1.768, -1.051]","(-1.285, -0.568]"
CUST0027,-0.3112045727157748,0,-1.1094519325224006,-1.6040526029020998,1,-0.017087347371546022,1,"(-1.768, -1.051]","(-2.006, -1.285]"
